,.,ADV,PRON,PRT,CONJ,ADJ,VERB,X,ADP,NUM,DET,NOUN
.,590055,97,28,74,120,197,503,92,408,49,250,630
ADV,0,204336,12,1074,472,9308,450,12,7626,0,380,644
PRON,0,24,194353,28,0,33,0,31,1172,0,4090,60
PRT,0,2880,14,109236,0,757,52,20,6818,5,4,137
CONJ,0,348,0,0,151623,0,0,8,578,0,119,7
ADJ,0,8648,0,159,0,317297,3623,58,306,0,0,9686
VERB,0,135,9,170,0,1882,703141,105,419,19,6,10762
X,205,3,0,16,31,21,21,4685,23,15,7,580
ADP,0,6894,1677,7912,40,369,753,75,560350,38,2675,1868
NUM,0,0,0,0,0,15,0,0,4,58269,8,1589
DET,0,782,1160,46,317,124,2558,83,1171,0,540516,5380
NOUN,0,809,83,601,1,4881,19899,375,189,1101,21,1070889
