,tag,precision,recall,f1-score
0,.,0.9958683753499983,0.9996526954223562,0.9977569470806916
1,ADV,0.9109373467549953,0.9083376304699585,0.9096356311349522
2,PRON,0.9727815567267795,0.9848836502209429,0.9787951964988529
3,PRT,0.9108844842107019,0.9155184551946093,0.9131955910198588
4,CONJ,0.9930575113142917,0.9935715970747818,0.9933144876788071
5,ADJ,0.9338389590819861,0.9474833076527992,0.9406116553350498
6,VERB,0.9811525323450285,0.9618891928864569,0.9714253741240965
7,X,0.8355626894952738,0.8450577200577201,0.8402833826562639
8,ADP,0.9617249434052288,0.9676823287235953,0.9646944388253573
9,NUM,0.9730149453118477,0.9793767648245261,0.9761854901533745
10,DET,0.9789526874670598,0.9862062925579664,0.9825661031091253
11,NOUN,0.9745551936617315,0.9715640627381531,0.9730573295576128
